,index,node,importance,Unnamed: 0,symbol,weight,Type
9,9,LCK,0.009552886880692453,57350.0,LCK,2.0,coding
17,17,EP300,0.008214943146390562,87966.0,EP300,14.0,coding
28,28,ESR1,0.005356837782011465,75970.0,ESR1,7.0,coding
32,32,AR,0.004728868012995986,84080.0,AR,7.0,coding
33,33,FOXA1,0.004508807598946218,87810.0,FOXA1,25.0,coding
40,40,LYN,0.003000745192318884,77085.0,LYN,6.0,coding
41,41,CREBBP,0.0029551156019195584,87048.0,CREBBP,15.0,coding
42,42,ZAP70,0.0028712523010809296,59990.0,ZAP70,3.0,coding
44,44,LCP2,0.0028123214306283086,83373.0,LCP2,3.0,coding
45,45,SP1,0.0028001352646655903,86891.0,SP1,6.0,coding
46,46,ERG,0.002773419675999646,75961.0,ERG,3.0,coding
47,47,E2F1,0.0027485990393084792,61168.0,E2F1,5.0,coding
49,49,GATA3,0.0025274923468072362,90480.0,GATA3,104.0,coding
54,54,PTPRC,0.0024250462860969176,78219.0,PTPRC,8.0,coding
58,58,FN1,0.0021908401715230214,90193.0,FN1,13.0,coding
64,64,COL1A1,0.0021092159550161055,75402.0,COL1A1,8.0,coding
67,67,VAV1,0.0019343014713020781,67152.0,VAV1,7.0,coding
71,71,JUN,0.0018758973534007785,90003.0,JUN,3.0,coding
72,72,SYK,0.0018714927903707706,79005.0,SYK,5.0,coding
73,73,RUNX1,0.0018637253151907636,88741.0,RUNX1,34.0,coding
76,76,STAT1,0.0017832031620030572,54437.0,STAT1,4.0,coding
77,77,ETS1,0.0017756677481590715,81965.0,ETS1,4.0,coding
79,79,EGR1,0.0016790728380710364,85351.0,EGR1,3.0,coding
80,80,RB1,0.0016371231785018323,80436.0,RB1,23.0,coding
82,82,CD5,0.0015537386593899008,81282.0,CD5,3.0,coding
83,83,PLCG2,0.0014944892236857165,81496.0,PLCG2,8.0,coding
86,86,RUNX3,0.0014440681126675584,46946.0,RUNX3,2.0,coding
87,87,RARA,0.001441512073711231,51502.0,RARA,1.0,coding
89,89,TAL1,0.0014316840812333637,17246.0,TAL1,1.0,coding
91,91,FLI1,0.0014106879800829552,61994.0,FLI1,6.0,coding
92,92,LAT,0.0014003266777620495,59090.0,LAT,1.0,coding
93,93,MMP2,0.0013882833394934517,53395.0,MMP2,4.0,coding
94,94,FOS,0.0013444490998098925,58844.0,FOS,1.0,coding
96,96,SPI1,0.0013051095180519642,78894.0,SPI1,3.0,coding
97,97,YWHAG,0.0012920777106993626,18253.0,YWHAG,1.0,coding
99,99,EBF1,0.001276514947408035,88825.0,EBF1,6.0,coding
100,100,ITK,0.0012751009313524493,82716.0,ITK,8.0,coding
104,104,CCNA2,0.0012529337732732789,87885.0,CCNA2,4.0,coding
105,105,THBS1,0.0012527872448487925,90022.0,THBS1,8.0,coding
106,106,SMAD4,0.0012499270573996207,82458.0,SMAD4,7.0,coding
107,107,SMAD2,0.001243574540625204,84984.0,SMAD2,7.0,coding
108,108,YY1,0.001236913443047239,86026.0,YY1,2.0,coding
111,111,CD2,0.0012005524904865293,82402.0,CD2,4.0,coding
112,112,EGFR,0.001155807547802011,80525.0,EGFR,5.0,coding
113,113,NR3C1,0.0011440668856978037,77555.0,NR3C1,3.0,coding
114,114,GATA1,0.0011204145849120833,32953.0,GATA1,2.0,coding
115,115,PLK1,0.0011168251170772918,83208.0,PLK1,2.0,coding
116,116,CBL,0.0011160990733548274,87593.0,CBL,4.0,coding
117,117,SPARC,0.0011041430562506185,44056.0,SPARC,1.0,coding
119,119,MBD3,0.001093425163633755,81430.0,MBD3,3.0,coding
120,120,EZH2,0.001085136253044699,62772.0,EZH2,3.0,coding
122,122,IRF4,0.0010672611632594753,49068.0,IRF4,3.0,coding
123,123,BTK,0.0010466897748846614,67503.0,BTK,7.0,coding
124,124,CD4,0.0010385905994957302,80722.0,CD4,4.0,coding
126,126,PIK3R1,0.0010233509798880558,85717.0,PIK3R1,18.0,coding
127,127,TCF4,0.0010178134266121694,87170.0,TCF4,10.0,coding
